ticker,sector,isxticker
RGTI,Quantum,False
QBTS,Quantum,False
QUBT,Quantum,False
IBM,Quantum,False
IONX,Quantum,True
RGTX,Quantum,True
QBTX,Quantum,True
QUBX,Quantum,True
ARCH,Drone Delivery/FlyingTaxi,False
UBER,Drone Delivery/FlyingTaxi,False
JOBY,Drone Delivery/FlyingTaxi,False
AIRO,Drone Delivery/FlyingTaxi,False
RCAT,Drone Delivery/FlyingTaxi,False
SRFM,Drone Delivery/FlyingTaxi,False
ARCX,Drone Delivery/FlyingTaxi,True
UBRL,Drone Delivery/FlyingTaxi,True
SMCI,SemiConductor,False
AMD,SemiConductor,False
MRVL,SemiConductor,False
MU,SemiConductor,False
ARM,SemiConductor,False
SOXL,SemiConductor,False
SNPS,SemiConductor,False
NXPI,SemiConductor,False
CDNS,SemiConductor,False
SMTC,SemiConductor,False
NVTS,SemiConductor,False
SMCX,SemiConductor,True
AMDL,SemiConductor,True
MVLL,SemiConductor,True
MULL,SemiConductor,True
ARMU,SemiConductor,True
SOXL,SemiConductor,True
NAIL,Real Estate,False
OPEN,Real Estate,False
FNMA,Real Estate,False
FMCC,Real Estate,False
RKT,Real Estate,False
COIN,Crypto,False
MARA,Crypto,False
RIOT,Crypto,False
MSTR,Crypto,False
SOL,Crypto,False
BTC,Crypto,False
ETH,Crypto,False
CRCL,Crypto,False
BMTR,Crypto,False
CONL,Crypto,True
COIG,Crypto,True
MRAL,Crypto,True
RIOX,Crypto,True
MSTU,Crypto,True
MSTX,Crypto,True
SOLT,Crypto,True
BITU,Crypto,True
ETHU,Crypto,True
SNOW,Security/Software Product,False
PANW,Security/Software Product,False
CRWD,Security/Software Product,False
CRM,Security/Software Product,False
MDB,Security/Software Product,False
FTNT,Security/Software Product,False
ZS,Security/Software Product,False
OKTA,Security/Software Product,False
SNOU,Security/Software Product,True
PANG,Security/Software Product,True
CRWL,Security/Software Product,True
CRMG,Security/Software Product,True
HOOD,Finance,False
UPST,Finance,False
NU,Finance,False
BULL,Finance,False
SOFX,Finance,True
ROBN,Finance,True
HOOX,Finance,True
UPSX,Finance,True
PLTR,AI Service,False
SOUN,AI Service,False
VRTL,AI Service,False
BBAI,AI Service,False
CRWV,AI Service,False
GRRR,AI Service,False
AI,AI Service,False
NBIS,AI Service,False
PLTU,AI Service,True
SOUX,AI Service,True
META,Mega Stocks,False
AMZN,Mega Stocks,False
TSLA,Mega Stocks,False
METU,Mega Stocks,True
AMZU,Mega Stocks,True
TSLL,Mega Stocks,True
NVDL,Mega Stocks,True
NFXL,Mega Stocks,True
AAPU,Mega Stocks,True
GGLL,Mega Stocks,True
MSFU,Mega Stocks,True
TQQQ,Mega Stocks,True
OKLO,Energy,False
UEC,Energy,False
LTBR,Energy,False
LEO,Energy,False
NNE,Energy,False
NUKZ,Energy,False
SMR,Energy,False
UUUU,Energy,False
NXE,Energy,False
DNN,Energy,False
OKLL,Energy,True
HIMS,Healthcare,False
TEM,Healthcare,False
LLY,Healthcare,False
NVO,Healthcare,False
UNH,Healthcare,False
HIMZ,Healthcare,True
TEMT,Healthcare,True
LLYX,Healthcare,True
NVOX,Healthcare,True
RDTL,Others,False
APPS,Others,False
RBLU,Others,False
CVNX,Others,False
SERV,Others,False
ARQQ,Quantum,False
IONQ,Quantum,False
AIRE,Real Estate,False
APLD,AI Service,False
SOFI,Finance,False
NFLX,Mega Stocks,False
AAPL,Mega Stocks,False
GOOG,Mega Stocks,False
NVDA,Mega Stocks,False
MSFT,Mega Stocks,False
QQQ,Mega Stocks,False
SMU,Energy,True
